No.,Time,Length
1905,40.747467,117
1906,40.772513,121
1907,40.843088,122
1908,40.87232,68
1911,40.906846,122
1913,40.957347,117
1914,40.972221,133
1915,41.037035,137
1916,41.103618,136
1918,41.169865,139
1919,41.176937,117
1920,41.237735,151
1921,41.303046,149
1923,41.36705,147
1924,41.383001,117
1925,41.431864,146
1928,41.502984,133
1930,41.566869,133
1931,41.605545,117
1932,41.631925,132
1933,41.697106,121
1935,41.763117,121
1936,41.804071,117
1937,41.828027,134
1938,41.897126,138
1939,41.963003,141
1941,42.017347,117
1942,42.027444,142
1943,42.091999,142
1944,42.163004,142
1946,42.226854,140
1947,42.23738,117
1948,42.292044,136
1949,42.357043,132
1951,42.423254,134
1952,42.457007,117
1953,42.489966,138
1954,42.55712,141
1956,42.712952,142
1957,42.712969,117
1958,42.712971,142
1959,42.758183,142
1961,42.822883,142
1962,42.867504,117
1963,42.887003,142
1964,42.950024,142
1965,43.01749,162
1967,43.057239,117
1968,43.083012,194
1969,43.150094,210
1972,43.217008,217
1975,43.272864,117
1976,43.282849,210
1977,43.346927,204
1978,43.418175,203
1985,43.483167,214
1986,43.497101,117
1988,43.547019,210
1989,43.611981,222
1991,43.677606,240
1992,43.707445,117
1993,43.743159,230
1994,43.809831,241
1996,43.882892,234
1997,43.928968,117
1998,43.928981,68
2000,43.943244,223
2001,44.006984,226
2002,44.083429,237
2004,44.123232,117
2005,44.142998,239
2010,44.20699,230
2012,44.269869,225
2014,44.332457,117
2015,44.336721,230
2020,44.403099,212
2025,44.469979,225
2030,44.5387,117
2031,44.538714,231
2033,44.602977,226
2034,44.667104,251
2036,44.737149,247
2037,44.762893,117
2038,44.803087,253
2041,44.866882,246
2045,44.932038,235
2046,44.9722,117
2047,45.003907,232
2048,45.063003,207
2049,45.129868,207
2052,45.17285,117
2054,45.197207,195
2055,45.263192,202
2056,45.328498,221
2059,45.402958,210
2060,45.402971,117
2063,45.463066,230
2066,45.52692,239
2069,45.588329,117
2071,45.589928,241
2073,45.657527,246
2074,45.723431,248
2076,45.790014,244
2078,45.807376,117
2079,45.857033,239
2081,45.923361,253
2085,45.98827,254
2087,46.010112,117
2089,46.052491,259
2091,46.123029,260
2094,46.18704,257
2095,46.226851,117
2099,46.252354,245
2103,46.323112,236
2108,46.384598,237
2112,46.427944,117
2114,46.44735,242
2119,46.523702,241
2122,46.581898,253
2125,46.63217,117
2126,46.646853,258
2128,46.712383,258
2130,46.797981,249
2133,46.848091,226
2134,46.868374,117
2135,46.910109,224
2137,46.96787,68
2139,46.977987,202
2142,47.043301,213
2143,47.069865,117
2144,47.109983,204
2145,47.177291,181
2147,47.243264,182
2148,47.283192,117
2149,47.307095,173
2150,47.373125,176
2152,47.443021,176
2157,47.497019,117
2158,47.506932,188
2160,47.569948,192
2161,47.636867,188
2163,47.703017,188
2164,47.717578,117
2165,47.769876,169
2167,47.836852,160
2168,47.877793,68
2170,47.903024,170
2171,47.923228,117
2172,47.966934,156
2173,48.032987,161
2176,48.103038,183
2177,48.143366,117
2181,48.166812,179
2182,48.231965,185
2183,48.30303,180
2186,48.350017,117
2187,48.363228,167
2192,48.429816,175
2195,48.504056,168
2198,48.565324,178
2199,48.57694,117
2200,48.626975,183
2201,48.696939,178
2203,48.763041,200
2204,48.782927,117
2205,48.827796,197
2206,48.891889,203
2209,48.963049,205
2210,49.010098,117
2211,49.023611,200
2214,49.090007,207
2217,49.157177,208
2221,49.207203,117
2226,49.222819,207
2227,49.288259,200
2228,49.353119,187
2230,49.425407,174
2231,49.429872,117
2233,49.483254,169
2235,49.551998,168
2238,49.617362,177
2239,49.642996,117
2240,49.683274,191
2241,49.74996,179
2243,49.816978,175
2244,49.862964,117
2245,49.883754,179
2246,49.946988,177
2247,50.017024,182
2248,50.017038,68
2251,50.063176,117
2252,50.08304,198
2254,50.14714,203
2255,50.212004,221
2258,50.27708,238
2259,50.282928,117
2260,50.342969,249
2261,50.409965,237
2264,50.476929,229
2266,50.49738,117
2267,50.543049,210
2268,50.606979,191
2270,50.671897,195
2271,50.707076,117
2273,50.743056,178
2274,50.807224,191
2275,50.86992,183
2277,50.923948,117
2278,50.936934,205
2279,51.00333,216
2280,51.070231,228
2283,51.137049,233
2287,51.148315,117
2291,51.203069,241
2292,51.266978,242
2294,51.338023,238
2295,51.348034,117
2296,51.403214,243
2299,51.46692,245
2301,51.532069,243
2302,51.551945,117
2303,51.603336,235
2305,51.667025,239
2307,51.727435,218
2308,51.770271,117
2309,51.802961,216
2310,51.868035,218
2311,51.926957,210
